chunk,row,col,mode,profile,T,a1,a2a1,a3a1,a3a2,alpha,b2b1,beta,chi2,error,fit_success,incl,n_fit,p,pa2d,phi,psi,rcut,rms_resid,se_T,se_a2a1,se_a3a1,se_a3a2,se_alpha,se_b2b1,se_beta,se_incl,se_p,se_pa2d,se_phi,se_psi,se_theta,se_var_inf,theta,var_inf
r2400_c2000,2400,2000,3d,powerlaw,0.8798068705866811,nan,0.3855579558512227,0.17986123330220025,0.46649597180560903,0.563584049795041,0.24715192569749544,,132085.83825520068,,True,67.4239867194181,27938,0.19055786418506226,10.440346405687364,-172.3657343810446,8.753895427342544,0.1,2.174355102274741,0.06657333450813799,0.08308135616173576,0.06563031816550446,0.14416733099290632,0.05715494797286435,0.08390920074193776,,3.8650792015903095,0.405598210116025,4.483807482560464,4.087618077100893,1.722085212326394,3.8650792015903095,,67.4239867194181,
r2400_c2000,2400,2000,2d,powerlaw,,nan,,,,0.5848664623155433,0.2817311766366599,,84747.73378832557,,True,,15220,,10.148480018759521,,,0.1,2.359699609330882,,,,,0.054656913529875686,0.08610574613348267,,,,4.2357483192539,,,,,,
r2400_c2000,2400,2000,3d,weibull,0.8751720036955596,1.1552988250261653,0.3917509647840921,0.18090310941990448,0.4617808906216903,0.605875050667859,0.24779390521452904,1.0000000006356422,130965.2219128472,,True,67.12930075329648,27938,0.1644641718723483,10.438256395256804,-172.39380734270844,8.675253103656603,0.1,2.16511184046587,0.07111230157290188,0.08411465885576426,0.060875592483651986,0.1444709709605773,0.06828854950202652,0.08118517186158694,6.661059659327182,3.5876948673330555,0.4239481500747623,4.447387015977668,4.040445826354102,1.6449418797202515,3.5876948673330555,0.6358925366488518,67.12930075329648,2.5498233504746044
r2400_c2000,2400,2000,2d,weibull,,0.4384075548609829,,,,0.6200194764688446,0.2815876621787304,1.615882909716625,83567.36759022508,,True,,15220,,10.153281088710404,,,0.1,2.34320904308478,,,,,0.0754566208274957,0.08191251587420245,6.215172540415647,,,4.209027441082379,,,,0.731022017006917,,1.769646547555844
r2400_c2400,2400,2400,3d,powerlaw,0.9440832547729585,nan,0.2708053535094351,0.13583256366209343,0.5015874387334107,0.5361714148901497,0.8377112524741115,,87718.33383545314,,True,65.45761492885553,27938,0.616377636527722,167.81741833728242,-177.27314557816038,-86.44298901130847,0.1,1.7719339548696422,0.056523073984172,0.07560136050923451,0.017520837149575995,0.1497720838393876,0.0597784854614489,0.1330270875692375,,2.8680204875662825,0.536686235507383,70.32322969494874,262.89916128872807,127.814644427984,2.8680204875662825,,65.45761492885553,
r2400_c2400,2400,2400,2d,powerlaw,,nan,,,,0.5559499204972702,0.8728304846386493,,74026.59226646075,,True,,15220,,169.19309214636402,,,0.1,2.2053958477709523,,,,,0.05544249098120284,0.09222386547110964,,,,70.42755611756911,,,,,,
r2400_c2400,2400,2400,3d,weibull,0.9461525566832704,0.6374386549161212,0.26301520300327086,0.12728703547476644,0.4839531480360225,0.6343166255935415,0.8595440945818523,1.0000000000004956,81638.61009603836,,True,65.48462855658909,27938,0.6097762638494473,164.9030921539606,-177.37869218039242,-86.67970318353505,0.1,1.709425367855599,0.05302981357551726,0.07739182957943411,0.01950158032483268,0.13853252290745666,0.12920463057334838,0.11517547972698541,0.4096459568669748,2.7636697706083972,0.5326937397761817,67.99064370704109,262.8781272944828,128.43608506240298,2.7636697706083972,0.6160916811885033,65.48462855658909,1.716468469551671
r2400_c2400,2400,2400,2d,weibull,,0.12583691151047913,,,,0.6657521296893326,0.8655942398914123,1.0000000000173306,72253.92652383621,,True,,15220,,169.16063043493455,,,0.1,2.178830270690691,,,,,0.13106453766040996,0.09526566210847197,1.76160492971834e-06,,,70.85998262213278,,,,1.4916963443777842,,1.4262720210750657
r2400_c2800,2400,2800,3d,powerlaw,0.9635048227170674,nan,0.2779186592744324,0.20563771719737747,0.7399205139166973,0.562951162083473,0.4672770846556964,,315429.80157790426,,True,69.15505709644383,27938,0.9792142884637984,157.26841378549523,164.76741412087267,117.56119081320803,0.1,3.3601116227482395,0.023823106424267458,0.05352608804361858,0.024121146603641994,0.08769687828759423,0.018641386089683215,0.1208093695180352,,3.5317305483094055,0.30665036780887855,4.201961312125468,3.3839391005388024,22.492515996864526,3.5317305483094055,,69.15505709644383,
r2400_c2800,2400,2800,2d,powerlaw,,nan,,,,0.6119218498141971,0.5070202028279752,,187772.1578519349,,True,,15220,,157.27940833376988,,,0.1,3.512434808219662,,,,,0.025745666272993545,0.12326228978504482,,,,4.918555207270782,,,,,,
