chunk,row,col,mode,profile,T,a1,a2a1,a3a1,a3a2,alpha,b2b1,chi2,error,fit_success,incl,n_fit,p,pa2d,phi,psi,rcut,rms_resid,se_T,se_a2a1,se_a3a1,se_a3a2,se_alpha,se_b2b1,se_incl,se_p,se_pa2d,se_phi,se_psi,se_theta,theta
r1200_c4800,1200,4800,2d,powerlaw,,nan,,,,0.09209452914338019,0.40542710170265006,219585.78355591366,,True,,15220,,165.67484916705996,,,0.1,3.7983482781739584,,,,,0.015951406499684205,0.11125140215321645,,,5.647775865362175,,,,
r1200_c4800,1200,4800,3d,weibull,0.9401910915195929,1.8521279390197571,0.2956158713716571,0.17127255059791538,0.5793753556032396,0.12209305785509113,0.5067134373240363,296600.30097942834,,True,68.49380324210188,27938,0.6728896704020021,161.22410661467882,176.7540236462074,113.77239624203052,0.1,3.2582780085359104,0.10336085668906361,0.1778345196040268,0.05677460108597692,0.14458142219180298,0.020623192726453802,0.13277531340709092,4.134959229986323,0.8062308086984897,4.490543447128888,451.28547468886524,238.58437754762315,4.134959229986323,68.49380324210188
r1200_c4800,1200,4800,2d,weibull,,0.1852835230537979,,,,0.09494747991455915,0.39967967253642755,219519.05169218953,,True,,15220,,166.0248668860743,,,0.1,3.7977710775103444,,,,,0.01612005370065345,0.10606481067860621,,,5.362739369984977,,,,
r1200_c800,1200,800,3d,powerlaw,0.8932382624553531,nan,0.419238639958585,0.2779320830501255,0.6629448160541245,0.062392517960575086,0.4599147035545461,256817.8949847512,,True,82.42283125395916,19227,0.45825144878490054,38.083803549209144,-142.4903130198566,-92.70351494349464,0.1,3.6547432933546737,0.08683975123602677,0.15023914711446076,0.1817718666002884,0.299869216770102,0.00895801678947673,0.16909503673791956,10.42556711861035,0.47010782198193757,6.1947266476266565,9.264301411910607,24.9798924434387,10.42556711861035,82.42283125395916
r1200_c800,1200,800,2d,powerlaw,,nan,,,,0.06606574905629013,0.43822834367636343,254594.07350898808,,True,,12176,,38.43256885764459,,,0.1,4.572690687541783,,,,,0.09294679426035957,0.8459721825186904,,,288.52530485639033,,,,
r1200_c800,1200,800,3d,weibull,0.8932163806959165,4.901047481404471,0.4192417486729988,0.27789666360791093,0.662855415729757,0.06239243336895772,0.46004719302513675,256817.89494799526,,True,82.41138118846415,19227,0.45810917123344463,38.08986606990351,-142.4854528499943,-92.70339645868103,0.1,3.654743293093139,0.1659389102528579,0.5301052227256565,0.399781072009639,0.8250095732757934,0.022619621602148605,0.16220315789935888,12.779060969192727,4.481304169637234,5.890142578408008,54.95665750136479,25.28889118893074,12.779060969192727,82.41138118846415
r1200_c800,1200,800,2d,weibull,,0.9920658715258015,,,,0.0660675969329076,0.43839857466203713,254594.07378655672,,True,,12176,,38.43825129482613,,,0.1,4.572690690034448,,,,,0.008983220405130988,0.14329605122519623,,,6.106824554488254,,,,
r1600_c1200,1600,1200,3d,powerlaw,0.8973776574098268,nan,0.4054950618093847,0.2624341349934463,0.6471944043471767,0.09585735131444777,0.2653672649276753,82760.22890458124,,True,87.98097237907763,27938,0.46753802431353186,1.4684489370957372,-178.3235464435204,-9.466785164432864,0.1,1.7211280600662584,0.4656900026089746,0.5596987746784358,0.27756425748125857,0.6693138286868269,0.06933323855419671,0.2354287023225121,9.83115730665364,2.430258565940999,3.8132944957451986,5.821109198286346,250.5072048832132,9.952498293166604,87.98097237907763
r1600_c1200,1600,1200,2d,powerlaw,,nan,,,,0.11650921074073207,0.3707877112862718,32912.71032533869,,True,,15220,,3.4761499272253267,,,0.1,1.470532060767011,,,,,0.03763427622056609,0.09693498074058653,,,3.6716040284387748,,,,
r1600_c1200,1600,1200,3d,weibull,0.9999810899077546,15.614029867645142,0.0043485735874496285,5.616250537249353e-12,1.291515579604851e-09,0.11522397737069917,0.3711958028462131,70226.28184580005,,True,89.99999997252718,27938,-15.0295420416921,3.4459612401678803,-176.1935232556958,-90.00000000108156,0.1,1.585448651985808,0.5373904710173038,0.8653723992768105,0.3903116712869115,0.5685421297475528,0.040330705565299746,0.12279178582021204,10.883469586756059,46.76164710009582,5.107202185227902,653.8204746413575,292.7482968388064,11.478325634398093,90.00000002747282
r1600_c1200,1600,1200,2d,weibull,,1.2775375731752698,,,,0.11650922367974297,0.37078790188195293,32912.710326971064,,True,,15220,,3.4761448466615006,,,0.1,1.470532060803478,,,,,0.03763431363650593,0.09693644116195635,,,3.6716681933876747,,,,
r1600_c1600,1600,1600,3d,powerlaw,0.9393687132316945,nan,0.26337225657419666,0.09642287222881098,0.36610869148872155,0.3323287573983487,0.2925844435382272,80641.19027482087,,True,39.682759039433066,27938,0.32936180494918466,8.386444880956649,-179.98230136968874,11.451913725709264,0.1,1.6989508230561525,0.050029058751751065,0.1127061604335008,0.06487567676436345,0.11197085765267717,0.05101281343602961,0.1421884300311174,13.21181970714605,0.37107759913206245,6.605537143743499,690.5725860212063,8.897382309318083,13.211819707146052,39.682759039433066
r1600_c1600,1600,1600,2d,powerlaw,,nan,,,,0.3569037845188224,0.3259800422082206,59855.38605034755,,True,,15220,,9.858542846839384,,,0.1,1.9830985267447268,,,,,0.04787765104367198,0.14095783716223437,,,7.398960417755897,,,,
r1600_c1600,1600,1600,3d,weibull,0.938858224633022,1.1476222550303576,0.2644566955103589,0.09679032506149426,0.3659968785237391,0.33309598170619026,0.29253565569148826,80631.71381217535,,True,39.68613144144897,27938,0.3249472889249403,8.382528519603232,-179.985878250273,11.45125781598035,0.1,1.6988509949349466,0.05427082428730515,0.12024259061045643,0.06752017422660346,0.10563158176427506,0.04290234552790671,0.1363193901151839,13.040300046528277,0.37110549243825924,6.552206239675583,690.6084570974624,8.88551164489397,13.040300046528278,39.68613144144897
r1600_c1600,1600,1600,2d,weibull,,0.2981262420249354,,,,0.36386360077334656,0.3251026415992311,59666.8775856866,,True,,15220,,9.794852490837346,,,0.1,1.9799732803531445,,,,,0.04032654718063762,0.13254236483032564,,,7.266285822585733,,,,
r1600_c2000,1600,2000,3d,powerlaw,0.9347092251527144,nan,0.2864395202784714,0.1338929125196139,0.46743868440166914,0.644770389386442,0.36711306482354017,54400.30429186562,,True,47.032112856877774,27938,0.4897407684010231,10.070350253872835,173.149571296732,-152.68265467179472,0.1,1.3954137818026953,0.0689056911361237,0.14065095629630103,0.08004002956058064,0.1171355241467235,0.0752203371336768,0.1296334498620372,10.3108036616225,0.5081037665151819,5.8472107585255175,3.567593413791024,6.921589401498377,10.3108036616225,47.032112856877774
r1600_c2000,1600,2000,2d,powerlaw,,nan,,,,0.6541754935898204,0.3792410659183603,26642.69451546971,,True,,15220,,9.549452528330933,,,0.1,1.3230667227777269,,,,,0.06274667809073244,0.13126355466493014,,,5.519108182782993,,,,
