row,col,parent_chunk,parent_snr,coverage,n_ok,central_ok,r21_c,r21_jk,r21_se,r32_c,r32_jk,r32_se,cov_ab,a1_c,a1_jk,a1_se,alpha_c,beta_c,chi2_c,pull21,pull32,wall_s
2600,3400,58,5.19339,1.0,4,True,0.001810017420703337,0.5356938078236827,0.631749330593644,4.33451454042746e-06,0.1448949224045732,0.11332254120346423,0.053992928985822655,33.010140252597054,1.9682730706094722,4.729417212314385,0.8520934994993128,4.083319939152896,1.8674847006032909,0.8450880191694037,1.2785681149692,36.23696422576904
2600,3600,59,4.5426,1.0,4,True,0.4479754020405563,0.19696597971811738,0.3231721833553383,0.5778099892125929,0.3288219909776455,0.5898427992575466,0.15950705480227773,0.15550027575584677,6.8404752116353595,18.075897094948324,0.7601421194509494,2.1430028169748727,0.5730360887482875,-0.7767049122741048,-0.4221260284068167,51.65444087982178
2600,3800,59,4.5426,1.0,4,True,0.3863034407085952,0.15547947510937973,0.20191373626262227,0.3919889682208324,0.3586498424256965,0.5275556766176923,0.0877911215426709,0.2174822052598676,4.473455130208101,10.763723020346763,0.6763566933248516,1.4776836656590475,0.6533486512063481,-1.1431810924393506,-0.06319546404823549,80.92848420143127
2600,4000,60,4.05736,1.0,4,True,0.2676021992258802,0.23375842600023033,0.18858600290337854,0.40702411462393606,0.2821450196843322,0.28442755635215705,0.045115979610842266,0.4617660224192615,1.0621866851639377,1.8382693864109605,0.6027640512590735,9.999999994206858,0.8855034618898271,-0.17946068480485058,-0.4390541357567614,54.89557909965515
2600,4200,60,4.05736,1.0,4,True,0.40286875929992905,0.3101089789531829,0.19223676074401905,0.3934294688643102,0.5596836249224751,0.3432619515726925,-0.01751668062931279,0.3619539861552023,0.604771818384302,0.519247957659305,0.5537859041253244,9.999999995978747,0.7093921122473612,-0.48252883573222677,0.48433610336494676,107.41858005523682
2600,4400,61,4.62391,1.0,4,True,0.21667654601333275,0.21632924360596614,0.023270773933447526,0.7904999208122105,0.579854464727541,0.20466727761446324,0.00395482391721973,0.4688291101309442,2.030641966641149,3.9226447419489694,0.692779071716985,1.0,1.2742675627996478,-0.014924402959689368,-1.0292092538674773,69.66089415550232
2600,4600,61,4.62391,1.0,4,True,0.001770966080603058,0.00893255475103532,0.020177493685217113,1.5948608240268005e-31,0.0001270860138312112,0.0003812580414936336,7.597266370056404e-06,52.02702736460723,90.13142973584522,162.017877886939,0.7821854850501613,1.679958998412555,1.4285276781779608,0.3549295458671929,0.33333333333333337,37.75056195259094
2600,800,52,4.76024,1.0,4,True,0.2300524984066694,0.25482491095203313,0.4197217507076383,0.3110722430872996,0.315557721464244,0.052474579624324086,0.01807246770638906,0.9230569504627673,12.499012597828111,27.886203361234617,0.5944236324646526,1.0,1.2056437587247075,0.05902103596870594,0.08547907213467618,91.08043789863586
2800,1000,66,5.51708,1.0,4,True,0.40886999859741846,0.36366549090161093,0.049500350191613716,0.3864287221254337,0.41224949632515995,0.11373150460926834,-0.005278896377117284,0.466238111682293,0.6800048741506086,0.5617342836046969,0.699095024924477,1.0000000000000027,0.6540065741141875,-0.9132159170757951,0.22703273194560383,48.96781396865845
2800,1200,67,5.54549,1.0,4,True,0.0034437142097021437,0.04151953438901973,0.09435674681497215,2.8260252894870106e-07,0.10446336297334437,0.28577383556914937,-0.01123761726586682,15.858766073698346,10.23301287682812,19.665554316520172,0.9212604064695082,2.152387484600234,3.6387009840398443,0.4035304465719018,0.36554459285177715,49.3947389125824
2800,1400,67,5.54549,1.0,4,True,0.26409860002989133,0.260896113240218,0.1362697333380994,0.4104535658142227,0.3915292139647053,0.04131693592220504,0.0004313438684093305,0.3430091892780357,0.36539005891272913,0.3031870356679546,0.6630447663914254,2.5426584232072247,2.709260269750883,-0.02350108649385574,-0.458028927535908,75.03846192359924
2800,1600,68,5.36335,1.0,4,True,0.04696987637582679,0.09099867010713064,0.24602484549561127,0.0005589998196848925,0.0037687136718772135,0.008490487672173237,-1.7099198533197823e-07,1.5137397179727006,109.08885863437453,238.7012624752706,1.160708421210226,1.000000000057186,1.8508734528500932,0.1789607616361221,0.37803645398506985,34.365681886672974
