chunk_id,row,col,snr,floor_frac,s2_floor,s2_plateau,flux_mad_std,a1,a2,a3,a1_ratio,alpha,beta,var_inf,chi2_dof,fit_success
107,4000,4000,1.57028,0.288534,0.10969,0.380162,0.450743,6.123954392915362,1.697290368062436,1.1634701912681693,9.568678738930252,0.0876607609277627,9.999999999970559,0.4470566177308638,0.16160583448238297,True
111,4400,3600,1.60093,0.280664,0.123716,0.440798,0.522565,9.165620818452426,3.0346119752571035,1.0310459105652903,14.321282528831915,0.08739468313732088,9.999999999999998,0.5422468512252294,0.4649413867112679,True
97,3600,3200,1.61825,0.27634,0.100213,0.362645,0.458414,5.562342398254532,3.705119915122314,1.1406202918675792,8.691159997272706,0.13841087856032352,9.999999995622952,0.47194342071379236,0.08456754715415593,True
50,2000,5600,1.63186,0.273002,0.131658,0.482261,0.503249,12.095776288043874,1.121959786871106,8.859139718294787e-14,18.899650450068552,0.07400703539965998,9.999999999999998,0.5475147413182639,0.7708297319111052,True
98,3600,3600,1.66151,0.265914,0.105731,0.397612,0.467911,2.393640913370291,1.6453010051131798,1.073056207024571,3.7400639271410796,0.133206218132787,9.999999997341453,0.4957433107650843,0.1561031648366153,True
104,4000,2800,1.68113,0.261357,0.119867,0.458634,0.552294,5.910573779995644,2.4075311311129197,0.9932963989575956,9.235271531243194,0.15127092159290637,9.999999999999984,0.6915719107418213,0.9700557391897552,True
91,3600,800,1.6913,0.259035,0.132447,0.511311,0.524371,6.7133169453117345,0.22005179092166588,0.00236357270536782,10.489557727049585,0.12099281628185117,2.058671148472584,0.5205690713907897,0.1187754511493325,True
106,4000,3600,1.70094,0.256859,0.0959195,0.373433,0.424382,2.683309889385432,1.5942464179508224,0.28163573831683714,4.192671702164737,0.12209372502129295,9.99999878136385,0.4032336036812101,0.3854299213947858,True
24,1200,4800,1.72304,0.25196,0.125567,0.498359,0.508877,4.444660415656862,2.008822381835221,0.7569727173243886,6.944781899463846,0.14060563581894694,9.99967774133097,0.6716385883160033,0.5152103055908265,True
12,800,4000,1.74347,0.247544,0.108292,0.437465,0.456967,4.24007606759048,2.8949769741347753,0.8968919717363001,6.625118855610125,0.14068802745965833,9.999999999999998,0.5972689666959324,0.5561227862668956,True
