chunk,row,col,central_ok,converged,fit_stride,a1,a2a1,a3a2,alpha,beta,var_inf,rms,se_a2a1,se_a3a2,se_a1,n_ok,wall_s,alpha_bad,ratio_bad,degen
r2400_c3200,2400,3200,True,True,2,0.3080995717245592,0.31254346726541926,0.42819006067472654,0.8209484704075319,1.0,0.9245474367800863,1.6214720736136596,0.07229359074390247,0.19763519814716468,0.07244292343756158,4,49.251741886138916,False,False,False
r2400_c3600,2400,3600,True,True,2,0.24270773999949313,0.258526301750844,0.5868233940248685,0.7026894234955728,1.0,0.7047005632227669,1.8361513961015608,0.15912855469833337,0.3317778277698987,0.23128165385442706,4,54.421265840530396,False,False,False
r2400_c4000,2400,4000,True,True,2,0.20413721810961122,0.17442952303130302,0.8397726282583896,0.8005671730432634,1.0,0.8068135127099226,1.7744093446173415,0.018421296626418553,0.16637616611545805,0.1094173112840397,4,48.72245192527771,False,False,False
r2400_c400,2400,400,True,True,2,5.5658786122843065,0.29756589024352126,0.623312968920657,0.39880942009198145,9.999999999999998,2.8496325543743746,2.1154399896060823,0.14012219646777282,0.3607863373797027,1.829290031485114,4,71.21967601776123,False,False,False
r2400_c4400,2400,4400,True,True,2,0.5566908159563219,0.16837924174927854,0.5042570020261654,0.7286806935123938,1.1159429886322099,1.1949230797015646,2.3169135056855827,0.07722117570610502,0.4964561621302078,2.4306027227559492,4,86.66482782363892,False,False,False
r2400_c4800,2400,4800,True,True,2,0.28493335895964716,0.19727896619639293,0.8493530297701654,0.5627838604896122,1.0,0.8323014312423561,1.892576088414787,0.26335304229143,0.412431993932361,1.897620489141573,4,60.918536901474,False,False,False
r2400_c5200,2400,5200,True,True,2,10.510533689133743,0.32236303766094804,0.3195215728701593,0.22237130448005446,1.0000000139233425,1.1742656893168562,2.748017362453223,0.33617553589372634,0.20015013850888266,6.313550294421244,4,72.29039573669434,False,False,False
r2400_c5600,2400,5600,True,True,2,0.4787827587183549,0.2188068546184255,0.5831981813201349,0.44523322197426785,1.0013818834201014,0.8336222409376844,1.7435175268449257,0.09359748229416186,0.17637232299763536,0.7297462612355884,4,22.509262084960938,False,False,False
r2400_c800,2400,800,True,True,2,5.443811298482468,0.38494991792283023,0.2857027206461793,0.598102869532403,9.999999999999998,3.9999999958074417,2.238900750123115,0.09743043006127793,0.07796265874324526,1.1165488782016955,4,68.13000893592834,False,False,False
r2800_c1200,2800,1200,True,True,2,1.7865127607657145,0.13197033054911492,0.37781521985891675,0.6424836554108343,1.1026542624549287,1.160731422030792,2.102666739782461,0.17173276929511122,0.08804179538527969,18.659590106870137,4,61.972105979919434,False,False,False
r2800_c1600,2800,1600,True,True,2,5.128944057368139,0.2361403974342825,0.4993235963436353,0.4101447683953106,1.0000000000001945,1.2443307537103523,2.234851556883229,0.052362862299654915,0.0793646654522242,2.0242446205022975,4,50.94875192642212,False,False,False
r2800_c2000,2800,2000,True,True,2,0.6365200618194327,0.5130220278932989,0.4225116376589968,0.5753451045371932,1.0,1.2586632507209115,2.2748168183190765,0.2984793001520815,0.13212815123132482,12.878187394483287,4,54.373862981796265,False,False,False
r2800_c2400,2800,2400,True,True,2,0.7338868201526331,0.2905994373522135,0.669796885600427,0.658242647118041,1.0,1.071102466226907,1.6282998143482685,0.10976827984161364,0.09363399059753447,0.320807846966486,4,41.6714141368866,False,False,False
r2800_c2800,2800,2800,True,True,2,1.4955635940787262,0.5139984001542796,0.39150127130962875,0.5786771697696039,1.0,1.6146592962162605,1.5233286796410188,0.1420891776087341,0.08035224119885191,3.406251044753185,4,68.75122380256653,False,False,False
r2800_c3200,2800,3200,True,True,2,0.5168580984207894,0.18755457135132417,0.35649412682530385,0.6814212231060067,1.0000000000003175,1.2188511779583524,1.2258587289588345,0.05186560626484794,0.021497389353378183,0.09647490665482521,4,42.154680013656616,False,False,False
r2800_c3600,2800,3600,True,True,2,0.33551069767638736,0.16778102195343325,0.9274152825292264,0.7280051627015949,1.3009971368222626,0.8572144468671662,1.1835213540007612,0.07080985415207999,0.11818084693964626,0.20598057370797168,4,45.365785121917725,False,False,False
r2800_c4000,2800,4000,True,True,2,0.9474822326495028,0.5496023943191954,0.29827032113341795,0.3192402606332823,9.999999999999869,0.9267608178450957,1.361732619924219,0.4530409709934375,0.11786947799528763,0.6560998566985524,4,52.61019325256348,False,False,False
r2800_c400,2800,400,True,True,2,0.5128527708938145,0.2291431462182052,0.37959722638593474,0.6720325221188622,3.28745171472282,1.245897128492915,2.2138275111229175,0.009773883364399967,0.11080992505240322,0.24909383185534092,4,54.626242876052856,False,False,False
r2800_c4400,2800,4400,True,True,2,0.8078903861295111,0.24550659460700722,0.5249050133446552,0.3947034234168049,3.1064664598948157,1.0225337403090513,1.0717794904207454,0.09784830937733108,0.38119838087036984,0.7052525172257501,4,48.70198202133179,False,False,False
r2800_c4800,2800,4800,True,True,2,1.1444852622097244,0.3338480721788505,0.320708472936043,0.44755833622520225,9.999999999968024,1.3225236293323335,1.4265148344531597,0.09148803156923441,0.19299995831453565,0.9705327980968637,4,43.083251953125,False,False,False
r2800_c5200,2800,5200,True,True,2,2.197545828434556,0.30216870724709965,0.2736293278127748,0.3137424923475583,9.999999999999998,1.1643375137850125,1.912083041841499,0.14070178708722814,0.10782625611881141,2.5593423843918406,4,58.816874980926514,False,False,False
r2800_c800,2800,800,True,True,2,0.3734992063181459,0.28559048982129986,0.39004438284920484,0.8196186830002997,1.0000000000676936,1.0172433823467486,2.064115564497616,0.16247191931872904,0.10164601558869178,0.31455140824537503,4,52.89388585090637,False,False,False
r3200_c1200,3200,1200,True,True,2,0.45398675831547136,0.19914766072850268,0.6243436816313441,0.6068715361340231,1.6597323072128394,1.2833624701008666,1.0974393007273429,0.04347893910966265,0.19941349803344677,0.572776244860363,4,44.33350992202759,False,False,False
r3200_c1600,3200,1600,True,True,2,4.569160898398341,0.12022977016578583,0.4232016419330954,0.4482648908810733,5.514709453359091,1.508581420174809,1.5307336834230778,0.484944496751097,0.4219798676806964,22.13312308960748,4,55.434938192367554,False,False,False
r3200_c2000,3200,2000,True,True,2,2.8003273106649997,0.5049317234702796,0.1903206015198579,0.7266366036447154,6.144902760661245,3.359597485745171,1.878233048438092,0.36234817280825354,0.10432978821557491,2.145020937745711,4,49.74650192260742,False,False,False
r3200_c2400,3200,2400,True,True,2,8.28401967997558,0.17987302509236344,0.14964771846221794,0.8051754783135685,9.999999999999998,3.999999999999999,2.4389267029081347,0.3707372766879391,0.1721683049902759,26.039015888994207,4,47.3599967956543,False,False,False
r3200_c2800,3200,2800,True,True,2,3.4698862526455927,0.5871335532899247,0.11510732205228004,0.629040787700844,7.293625088640027,2.6952995701536597,1.374994286939301,0.254249281168944,0.14401682175732541,17.37618321179902,4,59.55088686943054,False,False,False
r3200_c3200,3200,3200,True,True,2,4.354303498025784,0.5966101922621243,0.3371194055810407,0.39463152260682377,9.999999999999998,2.293606195767428,2.061693264688069,0.16409344380999413,0.0632747928374363,0.9725109170578149,4,77.10537219047546,False,False,False
r3200_c3600,3200,3600,True,True,2,7.250128804378153,0.4440062570348806,0.24089309302701206,0.4971059494624213,9.999999999999998,2.4113167619270053,1.6370906902898235,0.25562917867219864,0.07353377584059319,4.058583570864296,4,85.09822392463684,False,False,False
