chunk,snr,band,r_lo,r_hi,r_mid,a1,a2,a3,alpha,beta,var_inf
r2400_c4400,4.62391,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,0.46993375687717764,0.08395123100279822,0.053306376276492616,0.7052547472450597,2.0940164025349,1.081218131527896
r2400_c4400,4.62391,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,0.8094048810346375,0.11384232326477627,0.06433609726704198,0.5706317868999621,5.048892979494268,1.0727187587413067
r2400_c4400,4.62391,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,2.181096709431506,0.2559148075292038,0.1052593198818311,0.4493998691986783,1.0,1.384270765862798
r2400_c4400,4.62391,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,1.3675730870504188,0.4556043447961879,0.12339688304307364,0.3920296201511658,9.999999998130845,1.2243815840683845
r2400_c800,4.76024,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.547739332715439,0.16637544282209818,0.09440036707288567,0.5615497027478756,9.999999999999998,1.3850907554178367
r2400_c800,4.76024,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,0.4579327313746127,0.08938860560710854,0.04601817502283621,0.532067313577521,2.4758415787419104,0.9333982380267075
r2400_c800,4.76024,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,6.790999936356368,1.0608848745837394,0.4011851476436526,0.3879279894909437,9.999999999999998,1.947207157149933
r2400_c800,4.76024,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,3.070305375935072,1.5232198265837908,0.5194066862041259,0.6991148095342685,9.999999999999998,3.9999996769512554
r2400_c800,4.76024,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,1.9968605191191686,1.1445958462771437,0.39093307270948635,0.8888404359996718,9.999999999999975,3.9999999999981446
r2800_c1200,5.54549,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.16330286162564106,0.05777544704441252,0.027351998486106685,0.8988761294911461,5.020625216338372,0.5740311558176527
r2800_c1200,5.54549,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,0.4576596958594524,0.06955887688082811,0.03414744267649476,0.8518021391282217,1.9673512796851098,0.7193334152924581
r2800_c1200,5.54549,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,7.124383865043287,0.2782898750605637,0.12110765020876148,0.5446438704450233,1.0,1.236630499780821
r2800_c1200,5.54549,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,7.765969449763476,0.540410351068423,0.180200125962632,0.42237490597007943,9.999999999999998,1.1793280365849415
r2800_c1200,5.54549,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,2.10519665824007,0.43292826051365746,0.15845166152781576,0.49797306436947647,9.999999999999998,1.1298696092794052
r2800_c1600,5.36335,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.1284524905206082,0.046752402455097056,0.028283456328906793,0.9127564002682662,2.118948555455271,0.42758092400676867
r2800_c1600,5.36335,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,0.38233606871343223,0.07402703338893625,0.050437375551709865,0.7870379314260153,1.628398077012409,0.6092649969926435
r2800_c1600,5.36335,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,0.7193774897312828,0.09082568593831593,0.06380481343017082,0.5591214763815553,9.999999990712414,0.5629033447218937
r2800_c1600,5.36335,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,31.47364976216719,2.0550637555406452,0.7683584056753118,0.26505724359781435,9.999999999999998,1.0054333780225615
r2800_c1600,5.36335,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,4.179228634452332,2.2106471899126348,1.0721499838193647,0.4576954568689793,9.999999999999998,1.5559420246167972
r2800_c2000,6.46064,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.08136372319118612,0.030782997788334068,0.024425432554659753,1.0686411248307575,1.8857876958613922,0.5258543620842483
r2800_c2000,6.46064,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,0.15756467105621474,0.05605577085530792,0.04575341037388199,0.7649395279552288,9.999999999683842,0.6554412696948888
r2800_c2000,6.46064,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,2.0428212278405566,0.6731365261903771,0.28116614793383765,0.37199484975172226,9.997496065830735,1.252988258895779
